Q,A,QE,AE
Okay good. And uh- I want you to be in it actually.,Okay Okay.,xxx,hap
Okay Okay.,"Um- And she wants you to be in it, too.  She loves you so much. She thinks you're the sweetest.  Of course, you are.  You're You're my best friend so-",hap,hap
"Um- And she wants you to be in it, too.  She loves you so much. She thinks you're the sweetest.  Of course, you are.  You're You're my best friend so-",Where is she right now?,hap,hap
Where is she right now?,"oh, She's back at work. yeah.",hap,neu
"oh, She's back at work. yeah.","Yeah,I'll hang out with the both of you.",neu,hap
"Yeah,I'll hang out with the both of you.",Of course.  We'll go out to dinner later this week.,hap,hap
Of course.  We'll go out to dinner later this week.,yes.,hap,hap
yes.,It will be perfect.,hap,hap
It will be perfect.,Oh I'm so excited for you.,hap,hap
"Yes, me too. Oh I am so in love.",oh.,xxx,hap
oh.,She's the one.,hap,hap
She's the one.,"Oh, my gosh.  You told your parents already? and everything",hap,hap
"Oh, my gosh.  You told your parents already? and everything",Of course.  I told them right away.  We called them all right them.,hap,hap
Of course.  I told them right away.  We called them all right them.,Are they so excited?,hap,hap
Are they so excited?,"Oh, yeah.  My mom's freaking out. Oh yeah, She's so happy. this is you know  It's her dream come true.  She always wanted her little boy -- she wants kids, you know.",hap,hap
She wants grandkids. So we'll be working on that right away.,Are you guys gonna have kids?,hap,hap
Are you guys gonna have kids?,"Of course, we're gonna have kids, like three at least.",hap,hap
"Whoa, right away?.","She wants like eight- She wants like eight kids and I'm like, no, no, no, no, no.  I am like what Let's do maybe three and we'll go with that.",xxx,hap
"She wants like eight- She wants like eight kids and I'm like, no, no, no, no, no.  I am like what Let's do maybe three and we'll go with that.",Are you going to start right away?,hap,neu
Are you going to start right away?,"Well, we're going to take a little bit of time, you know, we need to get acclimated and you know start our lives, make money, you know be comfortable.",neu,hap
"Well, we're going to take a little bit of time, you know, we need to get acclimated and you know start our lives, make money, you know be comfortable.","Yeah, have you ever like lived with someone else before?",hap,neu
"Yeah, have you ever like lived with someone else before?","Oh, yeah, yeah, yeah, yeah I mean, actually we lived together awhile back when we -- Yeah, back in college for a little while. yeah.",neu,hap
oh.,But that- so we are really used to each other. We took the time apart and now we're going to get back together.  We're going to move in soon.,xxx,hap
But that- so we are really used to each other. We took the time apart and now we're going to get back together.  We're going to move in soon.,Oooh,hap,neu
Oooh,it's great. I'm a lucky man.,neu,hap
it's great. I'm a lucky man.,"That's incredible yeah ,Congratulations.",hap,hap
"That's incredible yeah ,Congratulations.",Thank you.,hap,hap
What do you mean?,"I don't know.  There's nothing for me out there.  I can't get a job.  I haven't gotten a job in a year, three years.  What is it, three years now; right? That I haven't been able to have a job.",xxx,fru
"I don't know.  There's nothing for me out there.  I can't get a job.  I haven't gotten a job in a year, three years.  What is it, three years now; right? That I haven't been able to have a job.",Really? It's been that long?,fru,neu
Really? It's been that long?,"Something like that.  I can't even remember anymore. I don't know what to do anymore.  I just get out there everyday -- well, not everyday, almost everyday.",neu,fru
"Something like that.  I can't even remember anymore. I don't know what to do anymore.  I just get out there everyday -- well, not everyday, almost everyday.",Wow.,fru,neu
Wow.,And try to do something. I mean-,neu,fru
And try to do something. I mean-,What have you been trying?,fru,neu
What have you been trying?,"Well, everything.  I'll do temping, you know, office work.  You know, whatever to pay the bills.  You know, I'll do anything.",neu,fru
"But, I mean, I don't want to keep those jobs.  I don't want those jobs.It's not what I want to do.",Right.,fru,neu
Right.,"But, I don't know.  God, what am I going to do?  Should I go back to school?  I can't- I can't afford to go back to school.",neu,fru
What do you do?,"Well, I mean, right now I'm just doing a little bit of everything.  And I don't- I don't think that I'm in like a profession, like career oriented place.",fru,neu
"Well, I mean, right now I'm just doing a little bit of everything.  And I don't- I don't think that I'm in like a profession, like career oriented place.","You plan on being there forever? I mean, Like, what do you --",neu,neu
"You plan on being there forever? I mean, Like, what do you --","No.  I'm just working in restaurants and stuff. But, I'm also trying to audition and what not.  So, it's --",neu,neu
"No.  I'm just working in restaurants and stuff. But, I'm also trying to audition and what not.  So, it's --",yeah.,neu,neu
"Yeah, yeah.  Well, hello.  That's what I'm doing too.  But I can't get the restaurant job.  I can't get -- -- the restaurant gig.  No one will give me anything.",Really?,fru,neu
Really?,"I go in for these interviews, and they're all cool and everything, you know.  Their nice and I'm nice to them, you know, give and take, back and forth, and whatever.",neu,fru
But they always go with somebody else.,"L.A. is really hard.  I mean, have you tried like just going into a bar a couple of times to make friends with people who work there? and",fru,neu
"L.A. is really hard.  I mean, have you tried like just going into a bar a couple of times to make friends with people who work there? and","Yeah, absolutely.  Hello?  You know me.  I go to bars all the time.  Like, they all know me, you know.  But no one wants to hire me.",neu,fru
"but Maybe they don't want to hire me because they know me. I don't know, what's wrong with me, Is there something wrong with me?","I was just going to say that's your issue. Maybe you are going in too much. No, I mean, just",fru,neu
are you going into the bars every night?,"I mean, You can tell me what.  Why is no one hiring me?  Is it me?  Be honest.  You can tell me. you know I can take it.  I can take it, you just tell me. Why?",neu,fru
"I mean, You can tell me what.  Why is no one hiring me?  Is it me?  Be honest.  You can tell me. you know I can take it.  I can take it, you just tell me. Why?","Well, I don't really know.  I don't I don't know you in like a job situation, so.",fru,neu
"Well, I don't really know.  I don't I don't know you in like a job situation, so.","Yeah, but I'm -- okay, well how about personality wise?  I mean, people who know me won't hire me.  Why?",neu,fru
"Yeah, but I'm -- okay, well how about personality wise?  I mean, people who know me won't hire me.  Why?","Wow.  I don't -- I mean, do you- do you have an attitude problem when you're on the job?",fru,neu
"I don't think I have an attitude problem when I'm on the job, no- I have an attitude problem right now because I don't have a job.",Maybe [garbage].,xxx,neu
"Right.  Maybe you have, like, you know a little bit of an abrasive vibe or something.",An abrasive vibe?,neu,ang
An abrasive vibe?,I don't know.  I'm I'm just trying --,ang,neu
I don't know.  I'm I'm just trying --,"Let me know that's -- that's fine.  You think I have an abrasive vibe, whatever.  You're entitled to your opinion, of course.  Maybe that's why I don't have a job.",neu,ang
"Let me know that's -- that's fine.  You think I have an abrasive vibe, whatever.  You're entitled to your opinion, of course.  Maybe that's why I don't have a job.",Are you getting defensive?,ang,neu
"No.  I'm not getting defensive.  I'm not getting defensive.  No. I asked you a question, you told me.  What?",Yeah.  That might be something you want to look at.  I mean --,xxx,neu
Yeah.  That might be something you want to look at.  I mean --,"I'm not like this all the time.  I mean, I don't -- I'm just frustrated right now, all right.  I just want to do --",neu,fru
